~ Val B R M S X G C L I F T W H T I L V C P S V A T Y X E G P E H N X B G C L P I O Y R J V H H Q P W A O M H S Y Y M F S I W W K V F F X O M U W J E K K Y O V A B U C B G L J V H M T E A B K V B N K W K G 
Be ~ 8516 ~ 608 9291 ~ 3256 ~ ~ 4896 4478 ~ 2099 1403 ~ 6410 654 83 ~ 9495 6540 ~ 1898 5323 6237 1939 ~ 7345 6660 387 ~ 3235 8132 ~ 4241 1329 5364 ~ 5315 ~ 9332 ~ 3157 ~ 5691 6771 9598 860 ~ 7184 ~ 2317 1387 3996 ~ 978 9095 ~ 9281 1668 7245 181 ~ 9343 ~ ~ ~ 3768 8756 3290 ~ ~ ~ ~ ~ 1823 ~ ~ ~ 7141 5454 ~ ~ ~ 3756 ~ ~ ~ 6122 3587 2561 8539 ~ ~ 2242 5684 6820 ~ ~ 1058 7464 
Rv ~ ~ ~ 8881 5622 ~ 1497 ~ 6565 928 6768 ~ 1373 3190 1627 ~ 3215 ~ ~ 3771 ~ 7139 3244 ~ ~ 5537 ~ 8056 1581 3099 6419 7610 ~ ~ 9562 ~ ~ 6819 9542 ~ 1202 3126 ~ ~ ~ 5273 7473 9260 ~ 4761 5790 6271 ~ ~ ~ ~ 7330 7231 5227 ~ ~ ~ ~ ~ 5489 8091 1192 ~ 8063 8360 ~ ~ 3932 ~ 9244 998 ~ 2795 976 2045 5890 ~ ~ 5774 4651 6493 374 ~ ~ ~ 2913 3128 5781 ~ 2628 5733 ~ ~ 5387 2196 ~ 
Ms ~ ~ ~ 7885 1112 ~ 7753 4112 ~ ~ ~ ~ 6255 ~ ~ 2571 ~ 3505 ~ ~ 8208 ~ 832 ~ 5516 ~ ~ 5055 ~ ~ 8190 6935 6415 ~ 6477 392 ~ 9450 6481 643 9103 ~ ~ 1268 ~ ~ 3303 ~ 6449 ~ ~ ~ ~ ~ 3420 ~ ~ ~ 9572 ~ ~ 5398 7630 ~ ~ 6598 634 ~ ~ ~ ~ 6283 671 8387 9438 8472 1895 ~ ~ ~ ~ 3636 193 ~ 9042 3 3517 ~ ~ 1225 6518 ~ ~ 2889 1264 ~ 977 514 ~ ~ 8681 
Sn ~ 3507 5835 6410 ~ 7260 ~ 8149 ~ ~ ~ ~ ~ ~ 2823 ~ ~ ~ ~ ~ 4974 2462 5529 319 4207 ~ ~ 3961 ~ ~ 7800 ~ 4894 7662 5468 5371 3236 ~ 9870 7627 ~ ~ 7913 3452 ~ ~ 5063 6272 8406 4336 4953 4164 3790 8589 ~ 7453 ~ ~ ~ 8819 7681 ~ ~ ~ ~ 9090 ~ ~ ~ 9036 ~ 4566 ~ 144 ~ 990 4018 ~ 231 ~ ~ ~ ~ 5157 412 6680 ~ ~ ~ ~ ~ ~ ~ ~ 6161 6657 1000 613 ~ 9350 9101 
Xc ~ 7874 4847 1970 4660 6397 ~ 5558 1780 2834 ~ ~ 9362 ~ ~ ~ 6722 5873 7365 ~ ~ 4924 7136 9688 759 ~ ~ 2876 ~ ~ ~ 5439 9671 6902 ~ ~ 7411 ~ 6855 ~ 1359 2626 4750 6092 ~ ~ ~ ~ 8483 9276 ~ 5440 ~ 1159 ~ 1117 ~ ~ ~ 4300 ~ ~ 109 ~ ~ ~ ~ 5785 ~ ~ ~ 1154 ~ ~ ~ ~ 607 ~ ~ 6696 814 ~ ~ 5905 9057 6493 5112 9302 2057 ~ ~ 8129 5897 4790 6671 3316 ~ ~ 890 1518 3375 
Gl ~ 184 9623 ~ 8861 ~ 2058 ~ ~ ~ ~ ~ 5190 ~ 5819 ~ ~ ~ ~ ~ 6494 ~ 8067 9022 ~ 2426 2603 ~ 4110 157 5705 ~ 8606 ~ 9182 ~ 7111 ~ 2428 6045 ~ ~ 2388 ~ 6544 9056 ~ 2754 ~ ~ ~ ~ ~ ~ 921 7272 ~ 9381 ~ 2742 ~ ~ ~ ~ 6794 9444 ~ 7720 5697 5196 ~ ~ 1104 ~ 1617 8986 2327 ~ 5925 6869 6432 1867 ~ ~ 7037 ~ ~ ~ 9634 ~ 3701 9701 ~ ~ 6758 ~ ~ ~ 7287 ~ ~ 
Cy ~ ~ 9646 7386 6918 3765 5222 5397 ~ ~ 2230 7583 3615 ~ ~ ~ ~ 2330 5335 ~ ~ ~ 3080 7461 2152 5197 6340 6588 4418 3819 6857 ~ 115 ~ ~ ~ ~ ~ ~ ~ ~ 2032 1400 ~ ~ 871 2201 836 ~ 2060 1172 540 ~ ~ ~ 4830 ~ ~ 9959 2527 4600 77 8406 520 ~ ~ 9025 6920 ~ 1667 ~ 8562 ~ ~ ~ ~ 9042 6248 ~ ~ 2663 6867 ~ ~ ~ 6216 ~ ~ ~ 6428 2366 4259 6959 2457 1548 7428 ~ ~ 7650 2793 7158 
Ly ~ 7049 ~ 2849 ~ ~ ~ ~ ~ 2084 ~ ~ ~ ~ 5266 6949 6642 ~ 4687 9451 582 8475 8993 ~ 2443 ~ 7222 3493 9584 ~ ~ 1532 8948 5429 ~ ~ 7595 ~ 9852 ~ ~ ~ ~ ~ ~ ~ 9487 ~ 608 ~ ~ 6738 6208 ~ 7959 9725 5789 4155 ~ ~ 5502 8874 ~ 8534 ~ ~ 8913 7489 ~ ~ 8591 9264 4786 6427 989 ~ ~ 4854 7788 ~ ~ 8876 425 ~ ~ 4196 ~ ~ 7914 7859 ~ 9551 ~ ~ ~ ~ 6990 3989 3713 ~ ~ 
Ic ~ ~ ~ 9268 ~ 4117 ~ ~ 9239 ~ ~ ~ ~ 4974 ~ ~ 6928 1607 1696 5577 9168 1392 9863 3648 701 ~ ~ 9015 3697 9290 ~ 1011 5621 ~ 1710 ~ 2771 ~ 7965 ~ ~ ~ 4656 4862 ~ 585 3661 6707 4007 ~ 5215 ~ ~ ~ ~ ~ 4266 1839 ~ ~ 9446 8927 1449 2034 8317 6592 ~ ~ ~ 6571 ~ 7903 ~ 8800 4873 2386 ~ 7127 5361 9575 ~ ~ 5999 ~ ~ ~ ~ ~ ~ ~ 3645 ~ 1465 3768 9197 1587 ~ ~ ~ ~ ~ 
Fc ~ 8356 ~ ~ ~ ~ 8923 4454 ~ 5964 8553 5506 4898 6610 7581 1409 399 ~ ~ 7277 ~ ~ ~ 5768 ~ ~ 778 7084 3115 ~ 92 ~ ~ ~ ~ 4274 6350 ~ ~ ~ ~ ~ 6237 7154 ~ ~ 9429 ~ ~ 237 ~ ~ ~ 6942 ~ 905 ~ ~ ~ 4160 ~ ~ ~ ~ 5947 ~ 3266 8521 8428 ~ 9557 ~ 2894 ~ 8648 107 ~ ~ ~ ~ ~ 6995 5354 424 8448 9348 83 4163 9738 2765 2878 7348 8485 ~ ~ 8726 7319 8273 7868 9826 ~ 
