~ Val J R T P H P E E B D C S V G G F X F K M A Y X C M N 
Jx ~ 527 ~ 415 ~ 761 ~ ~ 112 292 ~ 959 454 ~ ~ ~ ~ ~ 689 439 ~ 458 45 ~ ~ ~ 791 
Rm ~ 249 368 257 262 ~ ~ ~ ~ 484 321 996 ~ 769 812 ~ ~ ~ ~ 331 ~ 60 993 68 ~ ~ 589 
Tv ~ ~ ~ 305 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 613 ~ ~ ~ ~ ~ ~ ~ ~ 987 ~ 
Pb ~ 508 ~ 451 ~ ~ 827 553 378 ~ ~ 273 ~ ~ ~ 246 728 ~ 987 81 948 ~ ~ ~ ~ 403 ~ 
Hq ~ ~ 991 ~ ~ ~ ~ 392 ~ ~ ~ ~ ~ ~ 333 ~ ~ ~ ~ ~ ~ 351 ~ ~ 901 443 877 
Pn ~ 619 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 996 ~ 122 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 248 
Et ~ ~ ~ ~ 701 204 ~ ~ 246 559 ~ 773 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 513 285 ~ 683 736 
Et ~ 856 ~ 389 ~ ~ 716 373 ~ ~ ~ ~ ~ 603 955 ~ 300 ~ 63 ~ ~ ~ 589 ~ ~ 771 890 
Bt ~ ~ ~ ~ ~ ~ ~ ~ 810 ~ ~ ~ 260 ~ ~ ~ 869 ~ ~ ~ ~ ~ ~ ~ ~ ~ 789 
Do ~ 918 ~ ~ ~ ~ ~ ~ 739 ~ 275 ~ ~ ~ 807 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 926 ~ 
Ci ~ 777 ~ 541 276 ~ ~ ~ 925 ~ 605 402 386 ~ ~ ~ ~ ~ ~ 251 673 773 ~ ~ 934 482 17 
Ss ~ ~ ~ ~ ~ 517 ~ 986 ~ ~ 744 340 ~ ~ 196 ~ ~ ~ ~ ~ ~ ~ 616 ~ ~ ~ ~ 
Vl ~ 453 ~ 197 ~ ~ ~ ~ ~ 513 619 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 436 237 385 ~ ~ 73 
Ge ~ 351 ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 752 ~ 975 ~ 571 ~ 6 ~ 388 ~ 139 ~ 803 675 ~ 
Gl ~ ~ 804 ~ ~ 6 240 ~ 480 ~ 574 ~ ~ 996 ~ ~ ~ 982 696 ~ ~ 565 197 444 ~ ~ ~ 
Fq ~ 230 ~ ~ ~ ~ ~ ~ 210 ~ 977 ~ ~ ~ 683 ~ 71 313 524 940 ~ 593 499 ~ 282 203 419 
Xu ~ 39 254 ~ ~ ~ 338 30 ~ ~ ~ ~ 748 ~ 281 ~ 94 709 519 148 907 ~ ~ ~ ~ ~ ~ 
Fh ~ ~ 385 ~ ~ ~ ~ 22 ~ ~ ~ ~ ~ ~ ~ 204 865 417 ~ 37 72 ~ ~ 823 ~ ~ ~ 
Kk ~ ~ 17 ~ 244 87 360 784 ~ ~ 12 638 80 ~ 33 ~ 404 ~ ~ ~ ~ 391 348 101 ~ ~ 918 
Mc ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ 880 165 770 377 ~ 579 ~ ~ 325 792 127 53 81 
Ah ~ ~ 179 274 704 ~ ~ ~ 559 868 ~ ~ ~ ~ ~ ~ ~ 343 ~ ~ ~ 790 ~ 631 855 ~ ~ 
Yr ~ 692 ~ ~ ~ ~ ~ ~ 497 ~ ~ ~ ~ 523 727 ~ 639 597 778 443 478 ~ ~ ~ 320 ~ 856 
Xp ~ ~ ~ ~ ~ ~ ~ ~ ~ 821 ~ ~ ~ ~ ~ 335 ~ ~ ~ ~ ~ 355 ~ ~ ~ ~ 6 
Cr ~ ~ 971 ~ ~ 141 ~ ~ ~ 661 996 557 795 779 ~ ~ ~ 382 ~ ~ ~ ~ 285 ~ 353 ~ ~ 
Me ~ ~ ~ ~ ~ ~ ~ 355 ~ ~ 424 ~ 15 866 378 ~ ~ ~ ~ ~ ~ 336 ~ 822 ~ 83 425 
Nk ~ ~ ~ ~ 184 697 ~ ~ ~ ~ 882 414 895 ~ ~ 687 ~ ~ ~ ~ ~ ~ 682 ~ 469 ~ 359 
